6 5 1 2 0
0 0 0 0 0
10 6 3 4 1
26 15 11 13 0
0 0 0 0 0
0 0 0 0 0
0 0 0 1 0
0 0 0 0 0
17 8 7 12 2
0 0 0 0 0
1 1 0 0 0
5 4 1 4 0
0 0 0 0 0
10 5 4 2 1
12 7 5 0 0
17 12 5 6 0
2 1 1 1 0
14 6 6 3 2
4 0 4 5 0
6 2 4 2 0
13 5 6 6 2
6 1 5 4 0
8 3 4 6 1
0 0 0 0 0
13 8 5 5 0
16 8 8 9 0
16 8 7 8 1
19 7 11 10 1
5 2 2 1 1
6 2 3 2 1
14 5 9 8 0
0 0 0 0 0
0 0 0 0 0
9 2 7 2 0
4 2 2 0 0
0 0 0 0 0
6 1 4 3 1
0 0 0 0 0
3 2 1 1 0
8 4 3 4 1
9 6 3 4 0
1 1 0 3 0
0 0 0 0 0
3 2 1 5 0
9 4 4 5 1
8 4 3 3 1
10 5 5 2 0
7 4 2 2 1
12 4 7 2 1
0 0 0 0 0
6 2 4 3 0
0 0 0 1 0
7 4 3 2 0
0 0 0 0 0
22 8 13 12 1
10 3 3 7 4
6 3 3 1 0
0 0 0 4 0
0 0 0 0 0
25 13 12 14 0
0 0 0 0 0
19 6 11 11 2
19 6 12 14 1
4 3 0 4 1
11 10 0 3 1
0 0 0 0 0
1 1 0 1 0
3 2 1 2 0
5 3 2 1 0
8 4 4 5 0
5 3 2 2 0
18 8 9 9 1
0 0 0 0 0
2 1 1 1 0
16 6 10 8 0
1 1 0 3 0
8 4 4 3 0
0 0 0 0 0
6 3 3 4 0
4 4 0 0 0
15 7 8 6 0
12 8 4 6 0
10 3 6 12 1
2 1 1 4 0
20 9 11 6 0
4 3 1 7 0
5 2 3 1 0
12 7 4 10 1
6 3 3 1 0
10 3 7 1 0
8 4 4 0 0
0 0 0 0 0
5 2 2 1 1
20 5 12 9 3
22 14 7 10 1
6 4 2 2 0
6 3 3 6 0
3 2 1 2 0
17 7 10 6 0
18 8 9 8 1
4 2 2 1 0
18 6 10 10 2
14 8 5 4 1
19 11 7 5 1
6 2 4 0 0
0 0 0 0 0
3 1 2 1 0
0 0 0 0 0
11 5 6 10 0
1 1 0 0 0
1 0 0 4 1
6 2 4 2 0
14 6 8 6 0
7 3 3 5 1
3 1 2 5 0
30 17 13 14 0
13 9 4 5 0
4 1 2 5 1
0 0 0 0 0
7 4 2 4 1
0 0 0 0 0
24 13 7 12 4
0 0 0 0 0
2 1 1 1 0
26 9 14 13 3
24 12 11 9 1
2 1 1 1 0
9 6 3 8 0
11 5 6 5 0
8 6 2 3 0
0 0 0 0 0
15 8 6 4 1
4 1 2 1 1
14 7 5 6 2
1 0 0 4 1
8 3 5 3 0
6 4 2 5 0
29 15 9 13 5
0 0 0 0 0
0 0 0 0 0
20 6 12 10 2
4 2 2 1 0
5 2 2 1 1
18 5 11 9 2
9 3 4 2 2
4 2 1 2 1
7 4 3 1 0
16 10 6 7 0
13 5 6 6 2
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
15 8 6 8 1
12 7 5 7 0
14 4 7 4 3
6 3 2 2 1
10 5 5 10 0
10 7 3 3 0
0 0 0 0 0
0 0 0 0 0
6 5 1 4 0
20 10 10 10 0
7 1 6 2 0
0 0 0 0 0
5 1 3 5 1
0 0 0 1 0
20 11 7 6 2
4 2 2 3 0
0 0 0 0 0
6 5 1 1 0
9 4 4 0 1
4 3 1 0 0
0 0 0 0 0
4 3 1 0 0
10 6 4 8 0
4 2 0 2 2
9 6 3 4 0
12 7 5 3 0
2 1 1 3 0
0 0 0 0 0
4 1 3 2 0
3 2 1 2 0
6 2 3 1 1
0 0 0 0 0
1 0 1 0 0
0 0 0 0 0
0 0 0 0 0
20 14 5 8 1
0 0 0 0 0
0 0 0 0 0
14 2 10 8 2
0 0 0 0 0
11 9 2 1 0
24 8 12 9 4
6 1 5 4 0
0 0 0 1 0
12 6 5 6 1
12 6 6 7 0
6 2 2 3 2
14 8 6 7 0
4 2 1 2 1
0 0 0 0 0
5 2 2 6 1
9 6 3 8 0
0 0 0 1 0
15 7 8 6 0
1 0 1 0 0
12 4 5 4 3
12 4 8 2 0
8 6 2 3 0
2 2 0 2 0
0 0 0 0 0
6 3 3 1 0
0 0 0 0 0
0 0 0 1 0
0 0 0 0 0
22 8 13 11 1
0 0 0 0 0
8 5 3 5 0
6 1 5 4 0
5 2 3 1 0
2 0 1 1 1
7 2 4 1 1
5 2 3 1 0
7 3 3 2 1
6 3 2 4 1
0 0 0 0 0
3 0 3 1 0
14 8 5 9 1
19 8 10 7 1
19 4 14 14 1
13 5 8 3 0
7 5 2 2 0
2 1 1 0 0
12 7 5 2 0
3 2 1 2 0
0 0 0 0 0
0 0 0 0 0
2 1 1 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
9 6 3 6 0
0 0 0 0 0
0 0 0 0 0
13 4 9 4 0
8 3 5 2 0
25 11 13 15 1
9 7 2 8 0
1 0 1 0 0
18 7 11 9 0
7 4 3 4 0
0 0 0 1 0
0 0 0 0 0
40 19 21 10 0
8 4 4 3 0
13 6 6 4 1
13 7 6 4 0
15 7 8 4 0
19 12 6 9 1
20 8 10 8 2
16 6 9 7 1
2 0 1 0 1
9 4 5 2 0
5 2 3 2 0
0 0 0 0 0
12 4 6 6 2
1 0 0 0 1
6 3 3 4 0
1 0 1 0 0
0 0 0 0 0
15 6 8 7 1
0 0 0 0 0
1 1 0 1 0
0 0 0 0 0
9 2 7 0 0
19 13 6 15 0
0 0 0 0 0
6 3 3 3 0
0 0 0 0 0
0 0 0 0 0
4 1 2 0 1
14 8 6 9 0
15 12 1 1 2
6 3 3 2 0
4 3 1 1 0
27 13 13 11 1
7 2 5 3 0
4 3 1 2 0
9 4 5 8 0
11 5 6 5 0
15 5 10 5 0
0 0 0 0 0
27 13 13 6 1
11 5 6 3 0
4 3 1 2 0
13 5 8 15 0
14 6 7 5 1
0 0 0 0 0
3 1 2 2 0
7 3 4 4 0
12 7 4 10 1
2 0 2 0 0
8 4 4 6 0
0 0 0 0 0
4 2 2 5 0
0 0 0 0 0
1 0 1 0 0
0 0 0 0 0
0 0 0 1 0
11 4 7 6 0
2 2 0 1 0
2 2 0 0 0
0 0 0 0 0
7 1 6 3 0
0 0 0 0 0
30 13 15 14 2
4 1 3 2 0
0 0 0 0 0
10 6 3 3 1
0 0 0 0 0
7 4 2 2 1
20 11 9 12 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
21 11 9 12 1
8 4 3 4 1
0 0 0 0 0
4 2 2 4 0
11 7 4 7 0
1 0 1 2 0
13 3 7 8 3
11 6 4 3 1
6 4 2 2 0
0 0 0 0 0
0 0 0 0 0
18 7 11 6 0
5 3 2 3 0
25 8 15 10 2
5 3 2 2 0
14 10 4 0 0
2 0 2 0 0
0 0 0 0 0
8 4 3 3 1
2 0 2 2 0
1 0 0 0 1
1 1 0 0 0
5 4 0 2 1
4 2 1 2 1
25 12 11 15 2
0 0 0 0 0
0 0 0 0 0
3 0 3 3 0
8 4 3 6 1
7 3 4 3 0
3 0 3 0 0
3 0 3 0 0
0 0 0 0 0
12 2 9 5 1
5 2 3 1 0
14 5 9 5 0
17 9 6 5 2
5 2 3 2 0
0 0 0 0 0
9 4 3 2 2
15 5 8 5 2
12 6 6 6 0
0 0 0 0 0
4 0 4 4 0
0 0 0 0 0
9 4 4 8 1
9 3 5 6 1
0 0 0 0 0
1 0 1 1 0
10 5 4 11 1
5 2 3 3 0
0 0 0 0 0
20 8 11 3 1
10 6 3 4 1
0 0 0 0 0
13 6 7 2 0
6 3 3 2 0
8 1 7 3 0
1 1 0 2 0
0 0 0 0 0
8 3 5 5 0
0 0 0 0 0
25 9 14 10 2
0 0 0 0 0
6 2 4 2 0
1 1 0 0 0
2 1 1 3 0
2 1 1 0 0
11 2 6 5 3
5 1 3 0 1
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
2 0 2 4 0
7 4 2 6 1
10 1 8 2 1
0 0 0 0 0
0 0 0 0 0
1 1 0 0 0
1 0 1 0 0
4 2 1 4 1
0 0 0 1 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
8 5 3 2 0
12 4 7 4 1
14 6 8 2 0
0 0 0 0 0
0 0 0 1 0
0 0 0 0 0
10 5 3 5 2
0 0 0 0 0
0 0 0 0 0
15 4 9 5 2
18 11 6 10 1
13 7 6 6 0
12 7 3 2 2
2 0 1 0 1
18 12 5 11 1
12 5 7 11 0
16 10 6 8 0
25 13 11 11 1
0 0 0 0 0
14 10 4 9 0
3 0 2 0 1
12 6 6 9 0
3 3 0 3 0
0 0 0 0 0
3 2 0 7 1
3 3 0 4 0
0 0 0 0 0
10 2 7 4 1
0 0 0 0 0
19 7 8 6 4
9 6 3 8 0
0 0 0 0 0
14 7 7 9 0
4 1 3 1 0
9 3 6 4 0
0 0 0 0 0
1 0 1 2 0
0 0 0 0 0
12 6 6 5 0
9 6 3 4 0
0 0 0 1 0
2 0 2 1 0
2 2 0 0 0
10 4 6 7 0
0 0 0 0 0
0 0 0 1 0
0 0 0 0 0
2 0 1 1 1
10 3 7 10 0
0 0 0 0 0
2 1 1 0 0
7 2 5 3 0
11 8 3 2 0
0 0 0 0 0
9 4 4 3 1
0 0 0 0 0
10 3 4 13 3
14 6 8 6 0
6 5 1 1 0
0 0 0 0 0
0 0 0 0 0
22 9 11 6 2
2 2 0 3 0
1 0 1 0 0
0 0 0 0 0
7 5 2 4 0
3 0 2 3 1
9 5 4 1 0
10 6 3 3 1
1 0 1 0 0
10 2 7 4 1
17 11 6 4 0
16 6 10 6 0
1 1 0 0 0
0 0 0 0 0
19 8 11 7 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
11 3 7 4 1
1 1 0 2 0
20 6 12 16 2
8 2 4 6 2
21 6 13 8 2
8 4 4 2 0
10 6 4 1 0
7 5 2 3 0
