0 4 6 4 0
0 0 0 0 0
0 0 0 0 0
1 5 12 9 1
1 3 4 8 2
2 7 9 4 1
0 0 0 0 0
0 1 0 0 0
1 2 0 2 2
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
1 16 13 9 0
0 1 0 0 0
1 3 2 3 1
0 0 0 0 0
0 2 6 4 0
0 0 0 0 0
0 1 0 0 1
1 5 6 10 1
2 9 11 9 0
0 2 2 1 0
0 2 3 0 0
0 0 4 2 1
1 5 2 4 0
0 0 0 0 0
0 1 0 0 0
0 1 6 2 0
0 0 0 0 0
0 4 3 9 1
0 0 0 0 0
4 9 6 3 1
0 18 5 9 2
0 1 0 1 0
0 8 6 7 2
0 0 0 0 0
1 3 8 2 0
0 0 0 0 0
0 5 1 3 0
0 1 4 7 2
0 3 5 2 0
0 6 3 1 0
0 0 0 0 0
1 9 9 17 2
0 6 5 3 1
0 0 0 0 0
0 12 7 10 2
0 2 5 3 0
0 2 2 1 0
1 6 25 13 0
0 0 0 1 0
0 0 0 0 0
1 6 6 2 2
1 4 2 0 0
1 3 1 1 0
2 8 11 8 0
0 2 5 6 0
0 6 6 4 0
0 13 15 12 3
0 0 0 0 0
1 6 7 8 1
0 0 0 0 0
0 1 2 3 1
0 0 0 0 0
0 1 3 1 0
0 2 2 2 0
0 7 10 11 0
0 0 2 0 0
0 4 2 3 0
0 3 2 3 0
0 1 1 3 0
2 7 3 5 0
0 4 5 5 0
1 10 6 7 1
0 1 2 0 0
0 3 9 3 1
0 0 0 0 0
0 0 2 1 0
0 5 2 4 0
1 3 2 2 0
0 6 4 5 1
1 9 4 6 1
0 0 0 0 0
0 0 0 0 0
0 6 7 4 0
0 1 1 0 0
2 8 8 8 1
0 4 4 1 0
1 9 6 6 0
0 2 4 2 0
0 1 1 1 0
1 4 0 2 1
0 5 5 0 0
1 12 7 5 0
0 4 7 3 0
1 7 4 2 0
0 1 2 4 0
0 5 8 5 2
0 0 2 0 0
2 8 6 5 2
0 4 11 6 1
0 1 4 2 1
0 10 3 9 0
1 4 7 2 0
1 7 3 2 0
0 0 1 0 0
1 6 4 7 2
0 7 7 1 0
0 1 0 0 0
0 0 0 0 0
0 0 0 2 0
0 0 1 0 0
1 2 1 0 0
0 5 7 9 0
0 1 3 2 0
0 14 9 10 0
0 0 0 1 0
0 4 3 2 1
0 3 5 0 0
0 8 0 1 0
0 1 1 0 0
1 9 4 4 0
2 8 8 7 0
0 5 5 2 1
0 0 0 0 0
0 2 4 12 1
0 3 2 0 0
0 0 0 0 0
